Total episodios con iVoox: 1238
[19%] 123 ok, 4 skip, 114 fail — p-936-especial-absolution-de-muse
[20%] 124 ok, 4 skip, 114 fail — p-935-saturna-presentan-the-reset
[20%] 125 ok, 4 skip, 115 fail — p-933-the-manana-culture-presentan-bravado
[20%] 126 ok, 4 skip, 116 fail — p-931-the-beatles-y-la-inteligencia-artificial
[20%] 127 ok, 4 skip, 116 fail — b90-supernova-48-el-ultimo-concierto-de-pink-floyd
[20%] 128 ok, 4 skip, 118 fail — b90-supernova-47-estar-en-el-lugar-adecuado-en-el-momento-ad
[20%] 129 ok, 4 skip, 118 fail — p-928-entrevista-a-gustavo-iglesias-radio-3
[21%] 130 ok, 4 skip, 120 fail — p-925-pearl-jam-celebrando-los-30-anos-de-vs
[21%] 131 ok, 4 skip, 120 fail — b90-supernova-46-el-misterio-de-sappy-nirvana
[21%] 132 ok, 4 skip, 121 fail — p-923-el-ultimo-programa-de-la-temporada-11
[21%] 133 ok, 4 skip, 127 fail — b90-supernova-44-asi-se-gesto-black-hole-sun
[21%] 134 ok, 4 skip, 127 fail — p-917-black-maracas-la-banda-revelacion-de-mad-cool
[21%] 135 ok, 4 skip, 127 fail — p-916-novedades-miles-kane-alphawaves-cucamaras-ajeeb-murmur
[22%] 136 ok, 4 skip, 127 fail — p-915-entrevista-con-margaritas-podridas
[22%] 137 ok, 4 skip, 127 fail — b90-supernova-43-recordando-a-sinead-o-connor
[22%] 138 ok, 4 skip, 127 fail — p-914-paul-mccartney-eyes-of-the-storm-1964
[22%] 139 ok, 4 skip, 127 fail — p-913-especial-libros-y-musica
[22%] 140 ok, 4 skip, 127 fail — b90-supernova-42-el-dia-que-conoci-a-patti-smith
[22%] 141 ok, 4 skip, 127 fail — p-912-especial-mad-cool-2023
[22%] 142 ok, 4 skip, 127 fail — p-911-the-beatles-a-hard-day-s-night-1964-cap-4
[22%] 143 ok, 4 skip, 127 fail — b90-supernova-41-asi-sonaran-red-hot-chili-peppers-en-mad-co
[22%] 144 ok, 4 skip, 127 fail — p-910-especial-azkena-rock-festival
[22%] 145 ok, 4 skip, 127 fail — b90-supernova-40-foo-fighters-glastonbury-2023
[22%] 146 ok, 4 skip, 127 fail — p-909-especial-but-here-we-are-foo-fighters
[22%] 147 ok, 4 skip, 127 fail — p-908-especial-council-skies-noel-gallagher
[23%] 148 ok, 4 skip, 127 fail — p-907-especial-give-way-de-pearl-jam
